# kperp   gamma   kpar
1.000000e-02 1.100006e-02 1.000000e-02
3.159420e-02 2.054402e-02 1.000000e-02
5.318841e-02 2.455939e-02 1.000000e-02
7.478261e-02 2.704388e-02 1.000000e-02
9.637681e-02 2.902769e-02 1.000000e-02
1.179710e-01 3.094809e-02 1.000000e-02
1.395652e-01 3.304578e-02 1.000000e-02
1.611594e-01 3.549231e-02 1.000000e-02
1.827536e-01 3.843672e-02 1.000000e-02
2.043478e-01 2.384007e-01 2.668966e-01
2.259420e-01 2.641808e-01 3.182759e-01
2.475362e-01 2.885042e-01 3.696552e-01
2.691304e-01 3.133375e-01 3.696552e-01
2.907246e-01 3.369568e-01 4.210345e-01
3.123188e-01 3.603688e-01 4.210345e-01
3.339130e-01 3.826809e-01 4.724138e-01
3.555072e-01 4.042319e-01 4.724138e-01
3.771014e-01 4.246755e-01 5.237931e-01
3.986957e-01 4.439093e-01 5.237931e-01
4.202899e-01 4.620199e-01 5.751724e-01
4.418841e-01 4.785565e-01 5.751724e-01
4.634783e-01 4.940085e-01 6.265517e-01
4.850725e-01 5.076077e-01 6.265517e-01
5.066667e-01 5.202340e-01 6.779310e-01
5.282609e-01 5.308264e-01 6.779310e-01
5.498551e-01 5.406139e-01 7.293103e-01
5.714493e-01 5.483482e-01 7.806897e-01
5.930435e-01 5.553653e-01 7.806897e-01
6.146377e-01 5.604653e-01 8.320690e-01
6.362319e-01 5.649405e-01 8.320690e-01
6.578261e-01 5.676704e-01 8.320690e-01
6.794203e-01 5.699403e-01 8.834483e-01
7.010145e-01 5.707800e-01 8.834483e-01
7.226087e-01 5.710204e-01 9.348276e-01
7.442029e-01 5.703899e-01 9.348276e-01
7.657971e-01 5.688078e-01 9.862069e-01
7.873913e-01 5.670944e-01 9.862069e-01
8.089855e-01 5.645852e-01 9.862069e-01
8.305797e-01 5.614180e-01 9.862069e-01
8.521739e-01 5.583112e-01 1.037586e+00
8.737681e-01 5.547921e-01 1.037586e+00
8.953623e-01 5.509160e-01 1.037586e+00
9.169565e-01 5.467803e-01 1.037586e+00
9.385507e-01 5.424756e-01 1.088966e+00
9.601449e-01 5.383744e-01 1.088966e+00
9.817391e-01 5.341806e-01 1.088966e+00
1.003333e+00 5.299485e-01 1.088966e+00
1.024928e+00 5.257227e-01 1.088966e+00
1.046522e+00 5.215389e-01 1.088966e+00
1.068116e+00 5.174245e-01 1.088966e+00
1.089710e+00 5.133997e-01 1.088966e+00
1.111304e+00 5.094785e-01 1.088966e+00
1.132899e+00 5.056692e-01 1.088966e+00
1.154493e+00 5.019759e-01 1.088966e+00
1.176087e+00 4.983989e-01 1.088966e+00
1.197681e+00 4.949357e-01 1.088966e+00
1.219275e+00 4.916163e-01 1.037586e+00
1.240870e+00 4.886377e-01 1.037586e+00
1.262464e+00 4.857765e-01 1.037586e+00
1.284058e+00 4.830223e-01 1.037586e+00
1.305652e+00 4.803645e-01 1.037586e+00
1.327246e+00 4.777934e-01 1.037586e+00
1.348841e+00 4.752997e-01 1.037586e+00
1.370435e+00 4.728752e-01 1.037586e+00
1.392029e+00 4.706239e-01 9.862069e-01
1.413623e+00 4.686918e-01 9.862069e-01
1.435217e+00 4.668091e-01 9.862069e-01
1.456812e+00 4.649697e-01 9.862069e-01
1.478406e+00 4.631686e-01 9.862069e-01
1.500000e+00 4.614020e-01 9.862069e-01
