# kperp   gamma   kpar
1.000000e-02 0.000000e+00 0.000000e+00
3.159420e-02 0.000000e+00 0.000000e+00
5.318841e-02 0.000000e+00 0.000000e+00
7.478261e-02 0.000000e+00 0.000000e+00
9.637681e-02 4.805919e-03 6.137931e-02
1.179710e-01 1.010030e-14 1.000000e-02
1.395652e-01 3.831834e-21 1.000000e-02
1.611594e-01 2.196390e-28 1.000000e-02
1.827536e-01 2.293990e-36 1.000000e-02
2.043478e-01 4.878634e-45 1.000000e-02
2.259420e-01 2.117450e-54 1.000000e-02
2.475362e-01 1.357776e-67 1.000000e-02
2.691304e-01 0.000000e+00 0.000000e+00
2.907246e-01 0.000000e+00 0.000000e+00
3.123188e-01 0.000000e+00 0.000000e+00
3.339130e-01 0.000000e+00 0.000000e+00
3.555072e-01 0.000000e+00 0.000000e+00
3.771014e-01 0.000000e+00 0.000000e+00
3.986957e-01 0.000000e+00 0.000000e+00
4.202899e-01 0.000000e+00 0.000000e+00
4.418841e-01 0.000000e+00 0.000000e+00
4.634783e-01 9.011469e-02 1.127586e-01
4.850725e-01 9.506570e-02 1.127586e-01
5.066667e-01 9.976663e-02 1.127586e-01
5.282609e-01 1.041756e-01 1.127586e-01
5.498551e-01 1.089334e-01 1.641379e-01
5.714493e-01 1.134636e-01 1.641379e-01
5.930435e-01 1.175882e-01 1.641379e-01
6.146377e-01 1.212955e-01 1.641379e-01
6.362319e-01 1.245795e-01 1.641379e-01
6.578261e-01 1.274407e-01 1.641379e-01
6.794203e-01 1.298854e-01 1.641379e-01
7.010145e-01 1.319254e-01 1.641379e-01
7.226087e-01 1.335779e-01 1.641379e-01
7.442029e-01 1.348642e-01 1.641379e-01
7.657971e-01 1.358094e-01 1.641379e-01
7.873913e-01 1.364412e-01 1.641379e-01
8.089855e-01 1.367895e-01 1.641379e-01
8.305797e-01 1.368852e-01 1.641379e-01
8.521739e-01 1.367596e-01 1.641379e-01
8.737681e-01 1.365747e-01 2.155172e-01
8.953623e-01 1.365774e-01 2.155172e-01
9.169565e-01 1.364084e-01 2.155172e-01
9.385507e-01 1.360919e-01 2.155172e-01
9.601449e-01 1.356503e-01 2.155172e-01
9.817391e-01 1.351042e-01 2.155172e-01
1.003333e+00 1.344722e-01 2.155172e-01
1.024928e+00 1.337707e-01 2.155172e-01
1.046522e+00 1.330142e-01 2.155172e-01
1.068116e+00 1.322152e-01 2.155172e-01
1.089710e+00 1.313843e-01 2.155172e-01
1.111304e+00 1.305305e-01 2.155172e-01
1.132899e+00 1.296612e-01 2.155172e-01
1.154493e+00 1.287823e-01 2.155172e-01
1.176087e+00 1.278986e-01 2.155172e-01
1.197681e+00 1.270139e-01 2.155172e-01
1.219275e+00 1.261312e-01 2.155172e-01
1.240870e+00 1.252525e-01 2.155172e-01
1.262464e+00 1.243797e-01 2.155172e-01
1.284058e+00 1.235140e-01 2.155172e-01
1.305652e+00 1.226563e-01 2.155172e-01
1.327246e+00 1.218073e-01 2.155172e-01
1.348841e+00 1.209677e-01 2.155172e-01
1.370435e+00 1.201379e-01 2.155172e-01
1.392029e+00 1.193184e-01 2.155172e-01
1.413623e+00 1.185097e-01 2.155172e-01
1.435217e+00 1.179804e-01 1.641379e-01
1.456812e+00 1.175031e-01 1.641379e-01
1.478406e+00 1.170365e-01 1.641379e-01
1.500000e+00 1.165796e-01 1.641379e-01
